geometry,panel_a_in,panel_b_in,source_dataset,case,test_id,theta1,theta2,pt,predicted_type,confidence,type1_probability,type2_probability,type3_probability,review_priority,csv_path,plot_path
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_064,-20.0,55.0,5775.144279548085,2,0.68,0.056666666666666664,0.68,0.2633333333333333,high,data/New_data/8x8_Case2/csv/force_disp_Test_064.csv,data/New_data/8x8_Case2/Ori/plot_Test_064_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_065,72.0,31.0,5389.078711684597,2,0.6833333333333333,0.15833333333333333,0.6833333333333333,0.15833333333333333,high,data/New_data/8x8_Case2/csv/force_disp_Test_065.csv,data/New_data/8x8_Case2/Ori/plot_Test_065_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_066,75.0,72.0,3802.546065363662,1,0.47333333333333333,0.47333333333333333,0.4583333333333333,0.06833333333333333,high,data/New_data/8x8_Case2/csv/force_disp_Test_066.csv,data/New_data/8x8_Case2/Ori/plot_Test_066_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_067,-83.0,68.0,3750.04629067731,1,0.475,0.475,0.47,0.055,high,data/New_data/8x8_Case2/csv/force_disp_Test_067.csv,data/New_data/8x8_Case2/Ori/plot_Test_067_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_068,-26.0,-1.0,5356.440229584633,3,0.8433333333333334,0.0016666666666666668,0.155,0.8433333333333334,medium,data/New_data/8x8_Case2/csv/force_disp_Test_068.csv,data/New_data/8x8_Case2/Ori/plot_Test_068_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_069,-36.0,57.0,6497.168688060765,2,0.645,0.24166666666666667,0.645,0.11333333333333333,high,data/New_data/8x8_Case2/csv/force_disp_Test_069.csv,data/New_data/8x8_Case2/Ori/plot_Test_069_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_070,-89.0,-51.0,5228.957314727552,2,0.5216666666666666,0.3883333333333333,0.5216666666666666,0.09,high,data/New_data/8x8_Case2/csv/force_disp_Test_070.csv,data/New_data/8x8_Case2/Ori/plot_Test_070_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_071,-45.0,-29.0,6507.381217383448,2,0.5166666666666667,0.12666666666666668,0.5166666666666667,0.3566666666666667,high,data/New_data/8x8_Case2/csv/force_disp_Test_071.csv,data/New_data/8x8_Case2/Ori/plot_Test_071_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_072,-29.0,13.0,5641.422264894557,3,0.825,0.021666666666666667,0.15333333333333332,0.825,medium,data/New_data/8x8_Case2/csv/force_disp_Test_072.csv,data/New_data/8x8_Case2/Ori/plot_Test_072_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_073,-22.0,46.0,6113.025656201765,2,0.56,0.09166666666666666,0.56,0.34833333333333333,high,data/New_data/8x8_Case2/csv/force_disp_Test_073.csv,data/New_data/8x8_Case2/Ori/plot_Test_073_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_074,-1.0,-8.0,4850.751189382047,3,0.895,0.01,0.095,0.895,low,data/New_data/8x8_Case2/csv/force_disp_Test_074.csv,data/New_data/8x8_Case2/Ori/plot_Test_074_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_075,-22.0,82.0,4607.7273268511535,2,0.8066666666666666,0.065,0.8066666666666666,0.12833333333333333,medium,data/New_data/8x8_Case2/csv/force_disp_Test_075.csv,data/New_data/8x8_Case2/Ori/plot_Test_075_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_076,50.0,5.0,5394.339911148387,3,0.55,0.04666666666666667,0.4033333333333333,0.55,high,data/New_data/8x8_Case2/csv/force_disp_Test_076.csv,data/New_data/8x8_Case2/Ori/plot_Test_076_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_077,-64.0,20.0,5384.563257292823,2,0.6833333333333333,0.06666666666666667,0.6833333333333333,0.25,high,data/New_data/8x8_Case2/csv/force_disp_Test_077.csv,data/New_data/8x8_Case2/Ori/plot_Test_077_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_078,29.0,-79.0,5034.99062742488,2,0.715,0.13333333333333333,0.715,0.15166666666666667,medium,data/New_data/8x8_Case2/csv/force_disp_Test_078.csv,data/New_data/8x8_Case2/Ori/plot_Test_078_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_079,-67.0,39.0,5975.169734540399,2,0.6316666666666667,0.27,0.6316666666666667,0.09833333333333333,high,data/New_data/8x8_Case2/csv/force_disp_Test_079.csv,data/New_data/8x8_Case2/Ori/plot_Test_079_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_080,-53.0,-64.0,6613.877621257254,1,0.4816666666666667,0.4816666666666667,0.45,0.06833333333333333,high,data/New_data/8x8_Case2/csv/force_disp_Test_080.csv,data/New_data/8x8_Case2/Ori/plot_Test_080_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_081,-38.0,-72.0,5658.21080270886,2,0.6516666666666666,0.21333333333333335,0.6516666666666666,0.135,high,data/New_data/8x8_Case2/csv/force_disp_Test_081.csv,data/New_data/8x8_Case2/Ori/plot_Test_081_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_082,85.0,48.0,5285.769770789521,2,0.5266666666666666,0.39666666666666667,0.5266666666666666,0.07666666666666666,high,data/New_data/8x8_Case2/csv/force_disp_Test_082.csv,data/New_data/8x8_Case2/Ori/plot_Test_082_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_083,-12.0,85.0,4206.4510157485765,2,0.545,0.11166666666666666,0.545,0.3433333333333333,high,data/New_data/8x8_Case2/csv/force_disp_Test_083.csv,data/New_data/8x8_Case2/Ori/plot_Test_083_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_084,77.0,-48.0,5623.399988696108,2,0.49833333333333335,0.42,0.49833333333333335,0.08166666666666667,high,data/New_data/8x8_Case2/csv/force_disp_Test_084.csv,data/New_data/8x8_Case2/Ori/plot_Test_084_original.png
